"New_Model","New_Price","New_Year","New_Make"
"C-Max",27120,"2018","Ford"
"C-Max Hybrid",24120,"2018","Ford"
"FiestaSedan",14260,"2018","Ford"
"Focus",17950,"2018","Ford"
"Focus Electric",29120,"2018","Ford"
"Focus RS",41120,"2018","Ford"
"Focus ST",25170,"2018","Ford"
"Fusion",22840,"2018","Ford"
"Fusion Energi",36595,"2018","Ford"
"Fusion Hybrid",27555,"2018","Ford"
"Mustang",26120,"2018","Ford"
"Shelby GT350",59140,"2018","Ford"
"TaurusSE",27800,"2018","Ford"
"EcoSport",19995,"2018","Ford"
"EdgeSE",29995,"2018","Ford"
"Escape4WD",24105,"2018","Ford"
"Expedition",52130,"2018","Ford"
"Expedition EL",49835,"2018","Ford"
"Expedition Max",54815,"2018","Ford"
"Explorer4WD",32365,"2018","Ford"
"FlexLimited",30575,"2018","Ford"
"F-150",28155,"2018","Ford"
"F-250",33150,"2018","Ford"
"F-350",34320,"2018","Ford"
"F-450",47375,"2018","Ford"
"Ranger",24000,"2018","Ford"
"Transit Connect",24100,"2018","Ford"
"Transit-150",33135,"2018","Ford"
"Transit-250",34085,"2018","Ford"
"Transit",35790,"2018","Ford"
"Acadia",29000,"2018","Gmc"
"Acadia",43850,"2018","Gmc"
"TerrainAWD",25000,"2018","Gmc"
"Yukon",49500,"2018","Gmc"
"Yukon",52200,"2018","Gmc"
"Savana",31600,"2018","Gmc"
"Savana",35000,"2018","Gmc"
"CanyonCrew",21400,"2018","Gmc"
"Sierra",29600,"2018","Gmc"
"Sierra",35100,"2018","Gmc"
"Accord",23720,"2018","Honda"
"Accord Hybrid",25320,"2018","Honda"
"Civic",19450,"2018","Honda"
"Civic Si",24300,"2018","Honda"
"Civic Type R",35700,"2018","Honda"
"Clarity Plug-In Hybrid",33400,"2018","Honda"
"Fit",16190,"2018","Honda"
"FitLX",22830,"2018","Honda"
"CR-V",24350,"2018","Honda"
"HR-V",20520,"2018","Honda"
"Pilot2WD",31450,"2018","Honda"
"RidgelineRTS",29990,"2018","Honda"
"OdysseyEX",30090,"2018","Honda"
"Bolt",36620,"2018","Chevrolet"
"Camaro",25000,"2018","Chevrolet"
"CamaroCoupe",55495,"2018","Chevrolet"
"Cruze",17995,"2018","Chevrolet"
"Impala",28020,"2018","Chevrolet"
"Malibu",22090,"2018","Chevrolet"
"Malibu Hybrid",28070,"2018","Chevrolet"
"SSSedan",46625,"2018","Chevrolet"
"SonicSedan",15420,"2018","Chevrolet"
"Spark",13220,"2018","Chevrolet"
"VoltLT",33520,"2018","Chevrolet"
"Blazer",28800,"2018","Chevrolet"
"EquinoxFWD",23800,"2018","Chevrolet"
"Suburban2WD",50600,"2018","Chevrolet"
"TahoeLS",47900,"2018","Chevrolet"
"TraverseFWD",29930,"2018","Chevrolet"
"Trax",21300,"2018","Chevrolet"
"ColoradoCrew",20500,"2018","Chevrolet"
"Silverado 1500",28300,"2018","Chevrolet"
"Silverado 1500 LD",34500,"2018","Chevrolet"
"City Express",22855,"2018","Chevrolet"
"Express 2500",31600,"2018","Chevrolet"
"Express",35000,"2018","Chevrolet"
"86Manual",26455,"2018","Toyota"
"Avalon",35500,"2018","Toyota"
"Avalon Hybrid",36500,"2018","Toyota"
"Camry",23845,"2018","Toyota"
"Camry Hybrid",28150,"2018","Toyota"
"Corolla",18700,"2018","Toyota"
"Corolla Hatchback",19990,"2018","Toyota"
"Corolla iM",18850,"2018","Toyota"
"Mirai",58365,"2018","Toyota"
"Prius",23475,"2018","Toyota"
"Prius Prime",27300,"2018","Toyota"
"Prius c",21530,"2018","Toyota"
"Prius v",26675,"2018","Toyota"
"Yaris",15635,"2018","Toyota"
"Yaris Sedan",15450,"2018","Toyota"
"Yaris iA",15950,"2018","Toyota"
"4Runner",34910,"2018","Toyota"
"C-HR",20945,"2018","Toyota"
"Highlander",31330,"2018","Toyota"
"Highlander Hybrid",36970,"2018","Toyota"
"Land Cruiser",84765,"2018","Toyota"
"RAV4",24660,"2018","Toyota"
"RAV4 Hybrid",27385,"2018","Toyota"
"Sequoia",48700,"2018","Toyota"
"Tacoma2WD",25550,"2018","Toyota"
"Tundra",31420,"2018","Toyota"
"SiennaL",31115,"2018","Toyota"
"370Z",29990,"2018","Nissan"
"Altima3.5",23750,"2018","Nissan"
"GT-R",99990,"2018","Nissan"
"LEAFS",29990,"2018","Nissan"
"MaximaS",33420,"2018","Nissan"
"SentraS",17790,"2018","Nissan"
"Versa",12360,"2018","Nissan"
"Versa Note",15650,"2018","Nissan"
"Armada",46790,"2018","Nissan"
"JUKES",20250,"2018","Nissan"
"Kicks",18290,"2018","Nissan"
"MuranoAWD",31000,"2018","Nissan"
"PathfinderS",31230,"2018","Nissan"
"Rogue",24800,"2018","Nissan"
"Rogue Hybrid",27600,"2018","Nissan"
"Rogue Sport",21640,"2018","Nissan"
"Frontier",18990,"2018","Nissan"
"Titan",30390,"2018","Nissan"
"Titan XD",32670,"2018","Nissan"
"NV Cargo NV1500",29340,"2018","Nissan"
"NV Cargo NV2500 HD",30340,"2018","Nissan"
"NV Cargo NV3500 HD",33640,"2018","Nissan"
"NV Passenger NV3500 HD",35170,"2018","Nissan"
"NV200",22200,"2018","Nissan"
"Challenger",27595,"2018","Dodge"
"Charger",28995,"2018","Dodge"
"Viper",87895,"2018","Dodge"
"Durango",29995,"2018","Dodge"
"Journey",23495,"2018","Dodge"
"Grand Caravan",26650,"2018","Dodge"
"A3",32500,"2018","Audi"
"A3 e-tron",39500,"2018","Audi"
"A4",37400,"2018","Audi"
"A4 allroad",45700,"2018","Audi"
"A5",44200,"2018","Audi"
"A6",58900,"2018","Audi"
"A7",68000,"2018","Audi"
"A8",83800,"2018","Audi"
"R8",138700,"2018","Audi"
"RS 3",56200,"2018","Audi"
"RS 5",74200,"2018","Audi"
"RS 7",113900,"2018","Audi"
"S3",44500,"2018","Audi"
"S4",50200,"2018","Audi"
"S5",52400,"2018","Audi"
"S6",71900,"2018","Audi"
"S7",81200,"2018","Audi"
"S8",115900,"2018","Audi"
"TT",44900,"2018","Audi"
"TT RS",64900,"2018","Audi"
"TTS",53800,"2018","Audi"
"Q3",32900,"2018","Audi"
"Q5",42950,"2018","Audi"
"Q7",53550,"2018","Audi"
"Q8",67400,"2018","Audi"
"SQ5",52400,"2018","Audi"
"Lancer",17795,"2018","Mitsubishi"
"Mirage",13795,"2018","Mitsubishi"
"Mirage G4",14795,"2018","Mitsubishi"
"i-MiEV",22995,"2018","Mitsubishi"
"Eclipse Cross",23595,"2018","Mitsubishi"
"Outlander",24695,"2018","Mitsubishi"
"Outlander PHEV",35795,"2018","Mitsubishi"
"Outlander Sport",20945,"2018","Mitsubishi"
